Species,Treatment,Chamber,Date,rate_corrected,mg_per_cm2_epi,Estimated_Loading,Estimated_EpiRate,Grass_only_rate,Per_cont
Rm,Dark,11,6/6/2022,-0.969777515,0.0001975,0.511336758,-0.227825398,-0.741952117,23.49254281
Rm,Dark,16,6/6/2022,-0.199538424,0.0001975,0.362025729,-0.161300072,-0.038238352,80.83659706
Rm,Dark,19,6/6/2022,-0.376172565,0.0001975,0.556505625,-0.247950325,-0.12822224,65.91398426
Rm,Light,10,6/6/2022,2.227873139,0.0004425,0.744471219,0.277963559,1.949909579,12.47663318
Rm,Light,21,6/6/2022,3.87652369,0.0004425,1.632990938,0.609710573,3.266813117,15.72828187
Rm,Light,3,6/6/2022,1.036890192,0.0004425,0.9481005,0.353992717,0.682897475,34.13984623
Zm,Dark,13,6/6/2022,-1.456327367,0.0001975,2.054222188,-0.915255906,-0.541071462,62.84685202
Zm,Dark,14,6/6/2022,-2.164223172,0.0001975,2.46181487,-1.096858272,-1.0673649,50.6813847
Zm,Dark,17,6/6/2022,-4.754292004,0.0001975,2.569380365,-1.144783932,-3.609508072,24.07895709
Zm,Dark,20,6/6/2022,-1.212489791,0.0001975,2.20498875,-0.982429743,-0.230060048,81.02581564
Zm,Light,1,6/6/2022,9.780879272,0.0004425,4.92981875,1.84064868,7.940230592,18.81884674
Zm,Light,5,6/6/2022,8.465725471,0.0004425,5.564903969,2.077770738,6.387954733,24.54332762
Zm,Light,7,6/6/2022,6.504077722,0.0004425,6.174930781,2.305536728,4.198540994,35.44755808
Zm,Light,9,6/6/2022,6.442082648,0.0004425,4.410415938,1.646719014,4.795363633,25.5619045
Rm,Dark,14,6/20/2022,-0.224172848,0.0003475,1.228340104,-0.137846459,-0.086326389,61.49114857
Rm,Dark,18,6/20/2022,-0.075629001,0.0003475,0.969329531,-0.108779843,0.033150842,143.8335057
Rm,Dark,19,6/20/2022,-0.281023326,0.0003475,0.509317719,-0.057156519,-0.223866807,20.33870974
Rm,Light,21,6/20/2022,4.46497012,0.00083,4.206433083,4.054146012,0.410824107,90.79895058
Rm,Light,5,6/20/2022,5.045821918,0.00083,3.08450825,2.972838643,2.072983274,58.91683638
Rm,Light,6,6/20/2022,2.205911802,0.00083,1.770888,1.706775879,0.499135923,77.37280691
Zm,Dark,12,6/20/2022,-2.622615348,0.0003475,4.52622225,-0.507940519,-2.114674829,19.36770938
Zm,Dark,13,6/20/2022,-3.664362916,0.0003475,0.410281667,-0.046042521,-3.618320395,1.256494566
Zm,Dark,17,6/20/2022,-2.618414325,0.0003475,7.294373948,-0.818587308,-1.799827018,31.26271117
Zm,Light,10,6/20/2022,13.61350089,0.00083,9.210724417,8.877265114,4.736235778,65.20927412
Zm,Light,3,6/20/2022,21.94718858,0.00083,12.54296,12.08886253,9.858326056,55.08159954
Zm,Light,7,6/20/2022,22.54277731,0.00083,17.18712125,16.56488947,5.977887839,73.48202594
Rm,Dark,15,7/5/2022,-0.177976408,0.0001225,0.063878965,-0.056030292,-0.121946116,31.48186465
Rm,Dark,18,7/5/2022,-1.322518659,0.0001225,0.285869063,-0.250744937,-1.071773722,18.95965212
Rm,Light,21,7/5/2022,4.054397428,0.00035,0.317893333,0.332049354,3.722348074,8.189857057
Rm,Light,4,7/5/2022,6.963114075,0.00035,1.673354375,1.747870058,5.215244017,25.10184437
Rm,Light,5,7/5/2022,6.787968009,0.00035,1.545388542,1.614205814,5.173762195,23.78039807
Zm,Dark,13,7/5/2022,-4.636608359,0.0001225,1.538469333,-1.349440869,-3.287167491,29.10405115
Zm,Dark,14,7/5/2022,-3.775119871,0.0001225,1.309858813,-1.148919238,-2.626200633,30.4339803
Zm,Light,1,7/5/2022,18.33656905,0.00035,4.58822,4.792536763,13.54403229,26.13649668
Zm,Light,10,7/5/2022,15.50851028,0.00035,4.99603125,5.218508143,10.29000214,33.6493193
Zm,Light,3,7/5/2022,16.58454232,0.00035,2.32290625,2.426346949,14.15819537,14.63017129
Rm,Dark,12,7/19/2022,-0.641824056,3.50E-05,0.066474625,0.041806864,-0.68363092,6.513757714
Rm,Dark,17,7/19/2022,0.067616468,3.50E-05,0.05000975,0.031451863,0.036164605,46.51509336
Rm,Dark,19,7/19/2022,-0.967268308,3.50E-05,0.096714042,0.060824875,-1.028093183,6.288314721
Rm,Light,4,7/19/2022,1.880732603,4.25E-05,0.140968781,0.163982176,1.716750427,8.719058518
Rm,Light,9,7/19/2022,4.804364102,4.25E-05,0.207271792,0.241109267,4.563254836,5.018546919
Zm,Dark,11,7/19/2022,-5.053935692,3.50E-05,0.069555063,0.043744196,-5.097679888,0.865547146
Zm,Dark,13,7/19/2022,-8.255765443,3.50E-05,0.53399325,0.335836165,-8.591601609,4.067898581
Zm,Dark,15,7/19/2022,-2.841158062,3.50E-05,0.561393,0.353068269,-3.194226331,12.426914
Zm,Light,3,7/19/2022,20.77931523,4.25E-05,0.6340235,0.737528922,20.0417863,3.549341805
Zm,Light,6,7/19/2022,12.91022631,4.25E-05,0.426735771,0.496401116,12.4138252,3.845022576
Zm,Light,8,7/19/2022,23.50298501,4.25E-05,0.901924552,1.04916528,22.45381973,4.463966084
Rm,Dark,11,8/5/2022,-1.464222156,0.0001125,0.34584375,-0.277329809,-1.186892347,18.94041885
