File,Column,Unit,Purpose,,,
"Seagrass_Metabolism_Dataframe.csv, Site_Seagrass_Metabolism.csv",Site,NA,Identifier of site (Transect) per sampling event,,,
"Seagrass_Metabolism_Dataframe.csv, Metabolic_Contributions_From_Epiphtyes.csv, Site_Seagrass_Metabolism.csv",Species,NA,"Type of target species (Rm, Zm, or ASU)",,,
"Seagrass_Metabolism_Dataframe.csv, Metabolic_Contributions_From_Epiphtyes.csv",Treatment,NA,Type of chamber (light or dark) to measure production or respiration ,,,
"Seagrass_Metabolism_Dataframe.csv, Metabolic_Contributions_From_Epiphtyes.csv",Chamber,NA,Identifier of chamber number per sampling event,,,
"Seagrass_Metabolism_Dataframe.csv, Metabolic_Contributions_From_Epiphtyes.csv, Site_Seagrass_Metabolism.csv",Date,NA,Date of sampling effort,,,
Seagrass_Metabolism_Dataframe.csv,Temp_u,degrees celsius,Mean temperature of incubation (from Minidot loggers),,,
Seagrass_Metabolism_Dataframe.csv,Temp_sd,degrees celsius,Standard devisation of temperature of incubation (see above).,,,
Seagrass_Metabolism_Dataframe.csv,O2flux,mg O2 / chamber / L / min,Average minute by minute flux of the incubation,,,
Seagrass_Metabolism_Dataframe.csv,Sensor,NA,Idetifier of the MiniDOT sensor used per smapling event,,,
Seagrass_Metabolism_Dataframe.csv,Depth_Start,cm,Depth of the ichamber at the start of the incubations,,,
Seagrass_Metabolism_Dataframe.csv,Depth_End,cm,Depth of the chamber at the end of the incubations,,,
Seagrass_Metabolism_Dataframe.csv,pH,SU,Ambient average pH throughout the sampling effort in situ. Measured from a YSI Sonde,,,
Seagrass_Metabolism_Dataframe.csv,DO,mg O2 / L2,Ambient average concentration of dissolved oxygen throughout the sampling effort in situ. Measured from a YSI Sonde,,,
Seagrass_Metabolism_Dataframe.csv,Sal,ppt,Ambient salinity throughout the samplig effort in situ. Measured from a YSI Sonde,,,
Seagrass_Metabolism_Dataframe.csv,Turb,FNU,Ambient turbidity throughout the samplig effort in situ. Measured from a YSI Sonde,,,
Seagrass_Metabolism_Dataframe.csv,Pres,mmhg,Ambient atmospheric pressure at canopy line throughout the samplig effort in situ. Measured from a YSI Sonde,,,
Seagrass_Metabolism_Dataframe.csv,A_Above_Bio,mg,Dried aboveground segrass biomass per chamber.,,,
Seagrass_Metabolism_Dataframe.csv,A_TSC,shoots,Shoot counts per chamber of seagrass. ,,,
Seagrass_Metabolism_Dataframe.csv,U_Leaf_Area,mm2,Mean seagrass leaf area (as measured by measuring 5 leaves per chamber) through the Li-Core Leaf Area Meter,,,
Seagrass_Metabolism_Dataframe.csv,sd_Leaf_Area,mm2,Standard devisation of the mean leaf area (see above).,,,
Seagrass_Metabolism_Dataframe.csv,ABR_Bio,NA,Aboveground / belowground dried biomass ratio of the species per chamber,,,
"Seagrass_Metabolism_Dataframe.csv, Site_Seagrass_Metabolism.csv",Photoperiod_hours,hours,Photoperiod for the incubation day and location (from R's suncalc() package),,,
Seagrass_Metabolism_Dataframe.csv,rate_mg,mg O2 / m2 / min,"Rate of O2 flux  from each chamber, corrected to per min and per m2. ",,,
Seagrass_Metabolism_Dataframe.csv,rate,mmol O2 / m2 / min,"Rate of O2 flux  from each chamber, corrected to per min and per m2. ",,,
Seagrass_Metabolism_Dataframe.csv,rate_hour,mmol O2 /  m2 / hour,"Rate of O2 flux  from each chamber, corrected to per hour and per m2. ",,,
Seagrass_Metabolism_Dataframe.csv,A_Above_Bio_m2,mg ,Dried aboveground biomass estimation at the m2 scale,,,
Seagrass_Metabolism_Dataframe.csv,Cham_LA,cm2,Leaf area of seagrass inside the chamber (based on representaive shoots and shoot counts),,,
"Seagrass_Metabolism_Dataframe.csv, Metabolic_Contributions_From_Epiphtyes.csv",m2_LA,cm2,Leaf area of seagrass estimation at the m2 scale,,,
Seagrass_Metabolism_Dataframe.csv,A_Bio_rate_hour,mmol O2 / m2 / mg ABGB / hour,"Rate of O2 flux  from each chamber, corrected to per hour and per m2 and scaled by the amount of aboveground biomass.",,,
Seagrass_Metabolism_Dataframe.csv,LA_rate_hour,mmol O2 / m2 / cm2 leaf area / hour,"Rate of O2 flux  from each chamber, corrected to per hour and per m2 and scaled by the leaf area of the area",,,
Seagrass_Metabolism_Dataframe.csv,u_Light_Middle,Instant PAR,"Mean light measured at 0.505 m  above the seafloor using a HOBO Pendent light logger, calculated to Instant PAR per sampling event.",,,
Metabolic_Contributions_From_Epiphtyes.csv,rate_corrected,mmol O2 / m2 /  hour,Rate of O2 flux of seagrass and epiphtyes only (seagrass chambers - bare sediment chambers),,,
Metabolic_Contributions_From_Epiphtyes.csv,mg_per_cm2_epi,mg,Estimated epiphtyic loading (mg dried bimass) per cm2 of leaf area of a chamber,,,
Metabolic_Contributions_From_Epiphtyes.csv,Estimated_Loading,mg,Estimated epiphtyic loading (mg dried bimass) at the m2 scale (loading * total leaf area),,,
Metabolic_Contributions_From_Epiphtyes.csv,Estimated_EpiRate,mmol O2 / m2 /  hour,Rate of O2 flux of epiphtyes only at the m2 scale. ,,,
Metabolic_Contributions_From_Epiphtyes.csv,Grass_only_rate,mmol O2 / m2  / hour,Rate of O2 flux of seagrass only at the m2 scale. ,,,
Metabolic_Contributions_From_Epiphtyes.csv,Per_cont,%,Proportion of metabolism from epiphtyes alone (Estimated_EpiRate / abs(rate_corrected)) * 100),,,
Site_Seagrass_Metabolism.csv,NPP,mmol O2 / m2 /  hour,Mean rate of net primary production for the seagrass species (See MS methods for calculation) per site / date,,,
Site_Seagrass_Metabolism.csv,R,mmol O2 / m2 /  hour,Mean rate of respiration for the seagrass species (See MS methods for calculation) per site / date,,,
Site_Seagrass_Metabolism.csv,ER,mmol O2 / m2 /  hour,Mean rate of ecosystem respiration for the seagrass species + sediment and water column per site / date,,,
Site_Seagrass_Metabolism.csv,NEP,mmol O2 / m2 /  hour,Mean rate of net ecosystem production for the seagrass species + sediment and water column  per site / date,,,
Site_Seagrass_Metabolism.csv,GPP,mmol O2 / m2 /  hour,Mean rate of gross primary production for the seagrass species (See MS methods for calculation) per site / date,,,
Site_Seagrass_Metabolism.csv,NPP_sd,mmol O2 / m2 /  hour,Standard deviation of rate (see above),,,
Site_Seagrass_Metabolism.csv,R_sd,mmol O2 / m2 /  hour,Standard deviation of rate (see above),,,
Site_Seagrass_Metabolism.csv,NEP_sd,mmol O2 / m2 /  hour,Standard deviation of rate (see above),,,
Site_Seagrass_Metabolism.csv,ER_sd,mmol O2 / m2 /  hour,Standard deviation of rate (see above),,,
Site_Seagrass_Metabolism.csv,GPP_sd,mmol O2 / m2 /  hour,Standard deviation of rate (see above),,,
Site_Seagrass_Metabolism.csv,GPP_day,mmol O2 / m2 /  day,Mean daily rate (see above and MS for calculation),,,
Site_Seagrass_Metabolism.csv,R_day,mmol O2 / m2 /  day,Mean daily rate (see above and MS for calculation),,,
Site_Seagrass_Metabolism.csv,ER_day,mmol O2 / m2 /  day,Mean daily rate (see above and MS for calculation),,,
Site_Seagrass_Metabolism.csv,NEP_day,mmol O2 / m2 /  day,Mean daily rate (see above and MS for calculation),,,
Site_Seagrass_Metabolism.csv,P.R_E,NA,Productrion : Respiration ratio of the ecosystem per site / date,,,
