Site,Species,Treatment,Chamber,Date,Temp_u,Temp_sd,O2flux,Sensor,Depth_Start,Depth_End,pH,DO,Sal,Turb,Pres,A_Above_Bio,A_TSC,U_Leaf_Area,sd_Leaf_Area,ABR_Bio,Photoperiod_hours,rate_mg,rate,rate_hour,A_Above_Bio_m2,Cham_LA,m2_LA,A_Bio_rate_hour,LA_rate_hour,u_Light_Middle
Back River,Rm,Dark,11,7/6/2022,28.64674545,0.098857458,0,8,58,88,8.015,9.165,20.955,7.19,759.55,1.142,48,1.320133333,0.308673167,1.126948775,14.63222222,0,0,0,35.6875,56.76573333,1773.929167,0,0,233.3234782
Back River,Rm,Dark,14,7/6/2022,28.42002727,0.228351751,-0.007863549,11,63,94,8.015,9.165,20.955,7.19,759.55,1.145,31,1.187066667,0.166940309,4.27238806,14.63222222,-1.69730783,-0.05304087,-3.182452181,35.78125,36.79906667,1149.970833,-0.088941895,-0.086481872,233.3234782
Back River,Rm,Dark,19,7/6/2022,28.50750909,0.265167551,-0.006457931,18,60,90,8.015,9.165,20.955,7.19,759.55,1.332,61,1.707866667,0.648672256,1.928571429,14.63222222,-1.393912039,-0.043559751,-2.613585073,41.625,75.14613333,2348.316667,-0.062788831,-0.034780034,233.3234782
Back River,Rm,Light,10,7/6/2022,28.93655455,0.283404356,0.030747155,5,60,90,8.015,9.165,20.955,7.19,759.55,1.922,48,2.563866667,0.641141601,3,14.63222222,6.636619668,0.207394365,12.44366188,60.0625,110.2462667,3445.195833,0.207178554,0.112871504,233.3234782
Back River,Rm,Light,3,7/6/2022,29.30742727,0.203850073,0.023214266,6,58,88,8.015,9.165,20.955,7.19,759.55,0.563,35,1.942,0.658090745,1.357894737,14.63222222,5.010683142,0.156583848,9.395030891,17.59375,66.028,2063.375,0.533998203,0.142288588,233.3234782
Back River,Rm,Light,7,7/6/2022,28.77062727,0.289648406,0.021759174,20,63,94,8.015,9.165,20.955,7.19,759.55,2.347,68,2.106133333,0.532312726,4.026455026,14.63222222,4.696608966,0.14676903,8.806141811,73.34375,130.5802667,4080.633333,0.120066697,0.067438534,233.3234782
Back River,Sediment,Dark,13,7/6/2022,28.67397273,0.127503946,0,16,58,88,8.015,9.165,20.955,7.19,759.55,0,0,0,NA,NA,14.63222222,0,0,0,NA,NA,NA,0,0,233.3234782
Back River,Sediment,Dark,15,7/6/2022,28.369,0.222836386,-0.002789987,9,60,90,8.015,9.165,20.955,7.19,759.55,0,0,0,NA,NA,14.63222222,-0.60220465,-0.018818895,-1.129133719,NA,NA,NA,-1.129133719,-1.129133719,233.3234782
Back River,Sediment,Dark,17,7/6/2022,28.46110909,0.312670543,-0.009847425,17,63,94,8.015,9.165,20.955,7.19,759.55,0,0,0,NA,NA,14.63222222,-2.125517465,-0.066422421,-3.985345247,NA,NA,NA,-3.985345247,-3.985345247,233.3234782
Back River,Sediment,Light,21,7/6/2022,28.72502727,0.24808002,0.002275774,1,60,90,8.015,9.165,20.955,7.19,759.55,0,0,0,NA,NA,14.63222222,0.491214462,0.015350452,0.921027115,NA,NA,NA,0.921027115,0.921027115,233.3234782
Back River,Sediment,Light,4,7/6/2022,29.16447273,0.146078508,0.007111079,14,58,88,8.015,9.165,20.955,7.19,759.55,0,0,0,NA,NA,14.63222222,1.534890759,0.047965336,2.877920173,NA,NA,NA,2.877920173,2.877920173,233.3234782
Back River,Sediment,Light,8,7/6/2022,28.80824545,0.30485422,0.001862589,3,63,94,8.015,9.165,20.955,7.19,759.55,0,0,0,NA,NA,14.63222222,0.402030542,0.012563454,0.753807266,NA,NA,NA,0.753807266,0.753807266,233.3234782
Back River,Zm,Dark,12,7/6/2022,28.42741818,0.251134066,-0.026893058,15,60,90,8.015,9.165,20.955,7.19,759.55,4.778,30,17.993,8.709485642,2.300841168,14.63222222,-5.804732037,-0.181397876,-10.88387257,149.3125,431.832,13494.75,-0.072893244,-0.025203951,233.3234782
