Date,Site,Species,NPP,R,ER,NEP,GPP,NPP_sd,R_sd,NEP_sd,ER_sd,GPP_sd,Photoperiod_hours,GPP_day,R_day,ER_day,NEP_day,P.R_E
5/23/2022,Guinea Marsh,Zm,7.835997949,-3.724476924,-4.024392615,9.358163952,11.56047487,2.31125582,3.608730818,2.245858002,3.608637322,4.285421984,14.37166667,124.6074685,-89.38744617,-96.58542277,28.02204577,1.290127071
5/23/2022,Guinea Marsh,Rm,2.83051988,-0.340215833,-0.640131525,4.352685883,3.170735713,3.169593511,0.128071313,3.122226405,0.125409214,3.172179895,14.37166667,34.17656757,-8.165179988,-15.36315659,18.81341098,2.224579784
6/6/2022,Guinea Marsh,Zm,7.798191278,-2.429047083,-2.537237854,10.30570675,10.22723836,1.849609015,1.625496145,1.62177003,1.622645984,2.462375119,14.63,112.2183729,-58.29713,-60.89370849,51.32466443,1.842856605
6/6/2022,Guinea Marsh,Rm,2.380429007,-0.547376835,-0.655567605,4.887944474,2.927805841,1.680550519,0.414805392,1.42595041,0.40349199,1.730986297,14.63,32.12534959,-13.13704403,-15.73362252,16.39172707,2.04182791
6/8/2022,Browns Bay South,Zm,5.801888179,-1.278671688,-1.668871601,9.146650459,7.080559868,5.633931525,2.085317146,5.592352071,2.06970117,6.007473015,14.65472222,77.82272853,-30.68812052,-40.05291841,37.76981012,1.942997704
6/8/2022,Browns Bay South,Rm,7.568117174,-0.559983388,-0.9501833,10.91287945,8.128100562,4.049568263,0.274733382,3.991518554,0.10292603,4.058876883,14.65472222,89.33629195,-13.43960132,-22.80439921,66.53189274,3.917502545
6/10/2022,Pepper Creek,Zm,9.429918804,-5.914372481,-6.833478394,13.07419242,15.34429128,3.173059556,6.353058745,2.097423247,6.337033052,7.101384539,14.67611111,168.8958929,-141.9449395,-164.0034815,4.892411402,1.029831144
6/10/2022,Pepper Creek,Rm,1.252967677,0.114068717,-0.805037197,4.897241288,1.138898961,3.415262582,0.549162508,2.448447637,0.313387844,3.459132545,14.67611111,12.53595577,2.737649197,-19.32089273,-6.784936961,0.648829013
6/20/2022,Guinea Marsh,Zm,19.62238535,-2.904386165,-3.283275992,20.59857325,22.52677152,5.038158348,0.646508899,4.992278267,0.60266963,5.079469785,14.72972222,248.8598153,-69.70526796,-78.79862381,170.0611914,3.158174638
6/20/2022,Guinea Marsh,Rm,4.160131039,-0.12953036,-0.508420187,5.136318936,4.289661399,1.646562391,0.256924932,1.500323452,0.106053509,1.666486762,14.72972222,47.38914063,-3.108728641,-12.2020845,35.18705613,3.883692219
